"Part","Value","Attributes","Package","Description","Part Num","Mfg Name","VID","Vendor Part Num","Description","XREF"
"B1(DNP)","BR1225A/HB","INSTALL ON PURCHASE","BR1225","LI BATTERY Panasonic","BR1225A/HB","Panasonic - BCG","DK","P061-ND","BATTERY LITH COIN HITEMP W/LEGS","REF41"
"C1","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C2","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C3","10uF","TANT/16V","C3528/T","POLARIZED CAP","T491B106M016AT","Kemet","DK","399-3708-1-ND","CAPACITOR TANT 10UF 16V 20% SMD","REF25"
"C4","10uF","","C0805","NON-POLARIZED CAP","C0805C106K9PACTU","Kemet","DK","399-3138-1-ND","CAP CERAMIC 10UF 6.3V X5R 0805","REF72"
"C5","0.01uF","","C0805","NON-POLARIZED CAP","C0805C103K5RACTU","Kemet","DK","399-1158-1-ND","CAP 10000PF 50V CERAMIC X7R 0805","REF66"
"C6","22pF","","C0805","NON-POLARIZED CAP","C0805C220J5GACTU","Kemet","DK","399-1113-1-ND","CAP CERAMIC 22PF 50V NP0 0805","REF71"
"C7","22pF","","C0805","NON-POLARIZED CAP","C0805C220J5GACTU","Kemet","DK","399-1113-1-ND","CAP CERAMIC 22PF 50V NP0 0805","REF71"
"C8","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C9","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C10","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C11","0.47uF","","C0805","NON-POLARIZED CAP","C0805F474K3RACTU","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"C12","0.47uF","","C0805","NON-POLARIZED CAP","C0805F474K3RACTU","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"C13","0.47uF","","C0805","NON-POLARIZED CAP","C0805F474K3RACTU","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"C19","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C20","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C21","10uF","TANT/16V","C3528/T","POLARIZED CAP","T491B106M016AT","Kemet","DK","399-3708-1-ND","CAPACITOR TANT 10UF 16V 20% SMD","REF25"
"C22","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C23","0.1uF","","C1206","NON-POLARIZED CAP","C1206C104K5RACTU","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
"C24","0.1uF","","C1206","NON-POLARIZED CAP","C1206C104K5RACTU","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
"C25","0.1uF","","C1206","NON-POLARIZED CAP","C1206C104K5RACTU","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
"C26","470uF","25V","CSV-G","POLARIZED CAP","EEE-1EA471P","Panasonic - ECG","DK","PCE3909CT-ND","CAP ELECT 470UF 25V VS SMD","REF81"
"C27","470uF","25V","CSV-G","POLARIZED CAP","EEE-1EA471P","Panasonic - ECG","DK","PCE3909CT-ND","CAP ELECT 470UF 25V VS SMD","REF81"
"C28","100uF","16V","CSV-E/F","POLARIZED CAP","EEE-1CA101P","Panasonic - ECG","DK","PCE3879CT-ND","CAP ELECT 100UF 16V VS SMD","REF80"
"C79","10uF","TANT/16V","C3528/T","POLARIZED CAP","T491B106M016AT","Kemet","DK","399-3708-1-ND","CAPACITOR TANT 10UF 16V 20% SMD","REF25"
"C80","0.01uF","","C1206","NON-POLARIZED CAP","12065C103KAT2A","AVX Corporation","DK","478-1542-1-ND","CAP CERM .01UF 10% 50V X7R 1206","REF3"
"D1","BAV16W-7-F","","SOD123","DIODE","BAV16W-7-F","Diodes Inc","DK","BAV16W-FDICT-ND","DIODE SWITCH 75V 400MW SOD123","REF9"
"D2","5.1V","","SOD123","Z-Diode","BZT52C5V1-7-F","Diodes Inc","DK","BZT52C5V1-FDITR-ND","DIODE ZENER 5.1V 500MW SOD-123","REF10"
"D5","S1GB-13","","SMB","RECTIFIER - (1N4004WDICT)","RS1GB-13-F","Diodes Inc","DK","RS1GB-FDICT-ND","DIODE FAST RECOVERY 1A 400V SMB","REF12"
"D6","S1GB-13","","SMB","RECTIFIER - (1N4004WDICT)","RS1GB-13-F","Diodes Inc","DK","RS1GB-FDICT-ND","DIODE FAST RECOVERY 1A 400V SMB","REF12"
"D7","BZT52C5V1-7-F","","SOD123","Z-Diode","BZT52C5V6-7-F","Diodes Inc","DK","BZT52C5V6-FDICT-ND","DIODE ZENER 5.6V 500MW SOD-123","REF11"
"D8","18V","","SMB","Z-Diode","1SMB5931BT3G","ON Semiconductor","DK","1SMB5931BT3GOSTR-ND","DIODE ZENER 18V 3W SMB","REF36"
"D9","S1GB-13","","SMB","RECTIFIER - (1N4004WDICT)","RS1GB-13-F","Diodes Inc","DK","RS1GB-FDICT-ND","DIODE FAST RECOVERY 1A 400V SMB","REF12"
"D11","RED","","LED535","LED","5350T5","Chicago Miniature Lighting","DK","L20085-ND","LED GREEN T-3/4 RT ANG PCB","REF6"
"L1","CM1812","","CM1812","COMMON MODE FILTER","CM1812R600R-10","Laird-Signal Integrity Products","DK","240-2454-1-ND","CHOKE COMMON MODE 60 OHMS SMD","REF27"
"L2","0.1uH","","L1206","INDUCTOR","PM1210-R10J","JW Miller A Bourns Company","DK","M6093CT-ND","INDUCTOR .10UH 5% 1210 SMD","REF20"
"L3","FB-M1331","","L1206","FERRITE BEAD","PM2001-200","JW Miller A Bourns Company","DK","M1331CT-ND","FERRITE CHIP 20 OHM 25%","REF19"
"L4","10uH","","PM-13","INDUCTORS","PM3308-100M","JW Miller A Bourns Company","DK","M9719CT-ND","INDUCTOR POWER 10UH SMD","REF21"
"PF1","MF-SM030-2","","SMD-7555","POLYSWITCH","MF-SM030-2","Bourns Inc.","DK","MF-SM030CT-ND","FUSE RESETTABLE .30A 60V SMD","REF4"
"Q1","MMBTA05LT1G","","SOT23","NPN TRANSISTOR","MMBTA05LT1G","ON Semiconductor","DK","MMBTA05LT1GOSCT-ND","TRANS DRIVER SS NPN 60V SOT23","REF37"
"Q2","ZXMN6A07Z","","SOT89","N-CHANNEL MOSFET","ZXMN6A07ZTA","Diodes/Zetex","DK","ZXMN6A07ZCT-ND","MOSFET N-CH 60V 1.9A SOT-89","REF13"
"Q3","IRF614SPBF","","D2PAK","N-Channel MOSFET","IRF614SPBF","Vishay/Siliconix","DK","IRF614SPBF-ND","MOSFET N-CH 250V 2.7A D2PAK","REF90"
"Q4","IRF614SPBF","","D2PAK","N-Channel MOSFET","IRF614SPBF","Vishay/Siliconix","DK","IRF614SPBF-ND","MOSFET N-CH 250V 2.7A D2PAK","REF90"
"Q5","MMBTA05LT1G","","SOT23","NPN TRANSISTOR","MMBTA05LT1G","ON Semiconductor","DK","MMBTA05LT1GOSCT-ND","TRANS DRIVER SS NPN 60V SOT23","REF37"
"R1","47.5R","","R0805","RESISTOR","ERJ-6ENF47R5V","Panasonic - ECG","DK","P47.5CCT-ND ","RES 47.5 OHM 1/8W 1% 0805 SMD","REF57"
"R2","10K","","EVM-L4G","POTENTIOMETER","EVM-L4GA00B14","Panasonic - ECG","DK","L4G14BK-ND","POT 10K OHM 4MM CERAMIC TOP ADJ","REF44"
"R3","47.5R","","R0805","RESISTOR","ERJ-6ENF47R5V","Panasonic - ECG","DK","P47.5CCT-ND ","RES 47.5 OHM 1/8W 1% 0805 SMD","REF57"
"R4","47.5R","","R0805","RESISTOR","ERJ-6ENF47R5V","Panasonic - ECG","DK","P47.5CCT-ND ","RES 47.5 OHM 1/8W 1% 0805 SMD","REF57"
"R5","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R6","48.7R","1/2W","R2010","RESISTOR","ERJ-12SF48R7U","Panasonic - ECG","DK","P48.7ACCT-ND","RES 48.7 OHM 3/4W 1% 2010 SMD","REF58"
"R7","464R","1/4W","R1210","RESISTOR","ERJ-14NF4640U","Panasonic - ECG","DK","P464AACT-ND","RES 464 OHM 1/2W 1% 1210 SMD","REF56"
"R8","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R9","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R10","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R11","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R12","47.5R","","R0805","RESISTOR","ERJ-6ENF47R5V","Panasonic - ECG","DK","P47.5CCT-ND ","RES 47.5 OHM 1/8W 1% 0805 SMD","REF57"
"R13","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R14","47.5R","","R0805","RESISTOR","ERJ-6ENF47R5V","Panasonic - ECG","DK","P47.5CCT-ND ","RES 47.5 OHM 1/8W 1% 0805 SMD","REF57"
"R15","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R17","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R18","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R19","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R20","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R21","62K","","R0805","RESISTOR","ERJ-6ENF6192V","Panasonic - ECG","DK","P61.9KCCT-ND","RES 61.9K OHM 1/8W 1% 0805 SMD","REF60"
"R22","NCP21WF104J03RA","","R0805","NTC THERMISTOR","NCP21WF104J03RA","Murata Electronics North America","DK","490-2451-1-ND","THERMISTOR 100K OHM NTC 0805 SMD","REF33"
"R23","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R80","0R","","R0805","RESISTOR","RC0805JR-070RL","Yageo","DK","311-0.0ARCT-ND","RES 0.0 OHM 1/8W 5% 0805 SMD","REF92"
"R81","0R","","R0805","RESISTOR","RC0805JR-070RL","Yageo","DK","311-0.0ARCT-ND","RES 0.0 OHM 1/8W 5% 0805 SMD","REF92"
"RN1","10K","","744-8","CTS 744 Series","744C083103JPTR","CTS Resistor Products","DK","744C083103JPCT-ND","RES ARRAY 10K OHM 8TERM 4RES SMD","REF8"
"S1","CK-A","","CK-A","","2M1-SP1-T2-B4-M6RE","Carling Technologies","DK","432-1164-ND","SW TOGGLE SPDT .4VA RT ANG PCB","REF5"
"U1","DS1307Z","","SO08","Serial I2C Real Time Clock","DS1307Z+","Maxim Integrated Products","DK","DS1307Z+-ND","IC RTC SERIAL 512K 8-SOIC","REF28"
"U2","MEGA1281/2561","","TQFP64-AEB","MICROCONTROLLER","ATMEGA1281-16AU","Atmel","DK","ATMEGA1281-16AU-ND","MCU AVR 128K FLASH 16MHZ 64TQFP","REF2"
"U3","MAX3243IPWR","","TSSOP28","RS-232 Transceivers with AutoShutdown","MAX3243ECPWR","Texas Instruments","DK","296-19808-1-ND","IC RS232 3V-5.5V DRVR 28-TSSOP","REF85"
"U4","L78L33ACUTR","","SOT89-4","VOLTAGE REGULATOR","L78L33ACUTR","STMicroelectronics","DK","497-1200-1-ND","IC REGULATOR POS 3.3V SOT89","REF82"
"U11","L7805ACD2T","","D2PAK","VOLTAGE REGULATOR","L7805ACD2T","STMicroelectronics","DK","497-1440-5-ND","IC REG POS 1.5A 5V PREC D2PAK","REF83"
"U12","AD158X","","SOT23","VOLTAGE REFERENCE","AD1584BRTZ-REEL7","Analog Devices Inc","DK","AD1584BRTZ-REEL7CT-ND","IC V-REF 4.096V SOT-23","REF1"
"X1","EDSTLZ951/2","","951-2","ON-SHORE","EDSTLZ951/2","On Shore Technology Inc","DK","ED2427-ND","TERM BLOCK HDR 5.08MM 2POS PCB","REF39"
"X1-MATE","EDZ951/2","","*","BOM ENTRY","EDZ951/2","On Shore Technology Inc","DK","ED2409-ND","TERM BLOCK PLUG 5.08MM 2POS","REF38"
"X2","182-009-112-531","","NC182M9","SUB-D MALE - NorComp","182-009-113R531","Norcomp Inc.","DK","182-09ME-ND",""CONN DB9 MALE .318"" R/A NICKEL"","REF34"
"X3","70553-0007","POP X3 OR X4","70553-08","HEADER CONNECTOR","70553-0007","Molex Connector Corporation","DK","WM4906-ND","CONN HEADER 8POS .100 R/A GOLD","REF30"
"X4","640454-8","POP X3 OR X4","MTA08-100","AMP connector","640454-8","Tyco Electronics ","DK","A19435-ND","CONN HEADER VERT 8POS .100 TIN","REF88"
"X5","640454-2","","MTA-100-2V","HEADER CONNECTOR","640454-2","Tyco Electronics ","DK","A19423-ND","CONN HEADER VERT 2POS .100 TIN","REF87"
"Y1","16.000 MHz","","TC38H","CRYSTAL","ECS-160-18-9X","ECS Inc","DK","XC1383-ND","CRYSTAL 16.000 MHZ 18PF CYL","REF18"
"Y4","32.678 kHz","","TC26H","CRYSTAL","ECS-.327-12.5-13X","ECS Inc","DK","X1124-ND","CRYSTAL 32.768 KHZ 12.5PF CYL","REF15"
"C29","100pF","","C0805","NON-POLARIZED CAP","C0805C101J5GACTU","Kemet","DK","399-1122-1-ND","CAP CERAMIC 100PF 50V NP0 0805","REF64"
"C30","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C31","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C32","1500pF","","C0805","NON-POLARIZED CAP","C0805C152K5RACTU","Kemet","DK","399-1150-1-ND","CAP 1500PF 50V CERAMIC X7R 0805","REF70"
"C33","1500pF","","C0805","NON-POLARIZED CAP","C0805C152K5RACTU","Kemet","DK","399-1150-1-ND","CAP 1500PF 50V CERAMIC X7R 0805","REF70"
"C34","1500pF","","C0805","NON-POLARIZED CAP","C0805C152K5RACTU","Kemet","DK","399-1150-1-ND","CAP 1500PF 50V CERAMIC X7R 0805","REF70"
"C35","0.047uF","","C0805","NON-POLARIZED CAP","C0805C473K5RACTU","Kemet","DK","399-1166-1-ND","CAP 47000PF 50V CERAMIC X7R 0805","REF68"
"C36","470pF","","C0805","NON-POLARIZED CAP","C0805C471J5GACTU","Kemet","DK","399-1133-1-ND","CAP CERAMIC 470PF 50V NP0 0805","REF76"
"C37","470pF","","C0805","NON-POLARIZED CAP","C0805C471J5GACTU","Kemet","DK","399-1133-1-ND","CAP CERAMIC 470PF 50V NP0 0805","REF76"
"C38","0.047uF","","C0805","NON-POLARIZED CAP","C0805C473K5RACTU","Kemet","DK","399-1166-1-ND","CAP 47000PF 50V CERAMIC X7R 0805","REF68"
"C39","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C40","0.001uF","","C0805","NON-POLARIZED CAP","C0805C102K5RACTU","Kemet","DK","399-1147-1-ND","CAP 1000PF 50V CERAMIC X7R 0805","REF65"
"C41","0.0068uF","","C0805","NON-POLARIZED CAP","C0805C682K5RACTU","Kemet","DK","399-1157-1-ND","CAP 6800PF 50V CERAMIC X7R 0805","REF79"
"C42","1500pF","","C0805","NON-POLARIZED CAP","C0805C152K5RACTU","Kemet","DK","399-1150-1-ND","CAP 1500PF 50V CERAMIC X7R 0805","REF70"
